,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
75,Clyde River,CA,26.6,70.47,-68.59,79,90,8.05
76,New Norfolk,AU,55.4,-42.78,147.06,66,75,18.34
77,East London,ZA,62.6,-33.02,27.91,48,0,18.34
78,Georgiyevka,RU,51.79,52.25,40.45,100,88,4.16
79,Luderitz,NA,61.24,-26.65,15.16,65,20,10.42
80,Terrace Bay,CA,42.61,48.78,-87.1,100,48,18.81
81,Bredasdorp,ZA,60.8,-34.53,20.04,59,0,1.12
82,Abha,SA,72.55,18.22,42.5,28,0,21.92
83,Kedrovyy,RU,59,56.17,91.82,62,0,8.95
84,Torbay,CA,53.6,47.66,-52.73,100,90,7.29
85,Saldanha,PT,53.86,41.42,-6.55,87,0,5.61
86,Ballina,IE,42.8,54.11,-9.15,87,75,6.93
87,Mgandu,TZ,67.18,-5.96,34.11,66,12,12.33
88,Mount Isa,AU,95,-20.73,139.49,11,0,9.17
89,Chimoio,MZ,73.4,-19.11,33.48,73,0,9.17
90,Saint-Augustin,FR,57.2,44.83,-0.61,76,0,8.05
91,Palauig,PH,83.47,15.44,119.9,84,8,5.39
92,Tekeli,KZ,72.49,44.86,78.76,33,0,4.16
93,Masaka,UG,68.62,-0.34,31.75,100,88,8.63
94,Coihaique,CL,43.29,-45.58,-72.07,61,75,9.17
95,Burnie,AU,52.69,-41.05,145.91,100,36,21.27
96,Igrim,RU,44.5,63.19,64.42,77,44,7.74
97,Cayenne,GF,73.4,4.94,-52.33,100,20,8.3
98,Plettenberg Bay,ZA,60.07,-34.05,23.37,100,0,5.61
99,Beringovskiy,RU,48.37,63.05,179.32,94,92,21.83
100,Yangliuqing,CN,69.8,39.14,117,22,0,22.37
101,Waiouru,NZ,45.4,-39.48,175.67,79,92,7.4
102,Cockburn Town,TC,83.92,21.46,-71.14,96,0,16.24
103,Vostok,RU,59.17,46.45,135.83,58,0,2.82
104,Miri,NG,72.4,10.31,9.75,88,92,2.93
105,Sitka,US,49.27,37.17,-99.65,99,92,10.54
106,Castro,CL,44.59,-42.48,-73.76,97,76,6.96
107,Meulaboh,ID,82.66,4.14,96.13,100,32,5.06
108,Nipawin,CA,28.4,53.36,-104.02,79,90,9.17
109,Chernyshevskiy,RU,49.72,63.01,112.47,60,32,5.39
110,Yellowknife,CA,30.2,62.45,-114.38,68,20,13.87
111,Mandalgovi,MN,41.8,45.76,106.27,70,68,18.7
112,Benguela,AO,69.52,-12.58,13.4,99,36,3.6
113,Kavieng,PG,86.17,-2.57,150.8,100,24,5.95
114,Tuatapere,NZ,48.37,-46.13,167.69,100,92,7.96
115,San Felipe,CL,53.6,-32.75,-70.73,81,90,6.93
116,Birin,SY,76.09,35.01,36.67,55,0,5.39
117,Albany,US,51.06,42.65,-73.75,89,20,2.93
118,Guerrero Negro,MX,67.18,27.97,-114.04,100,0,5.84
119,Le Port,FR,35.77,42.87,1.37,87,0,2.04
120,Balaipungut,ID,89.86,1.11,101.31,68,12,2.37
121,Arraial do Cabo,BR,73.21,-22.97,-42.02,97,92,8.41
122,Beisfjord,NO,41,68.38,17.6,56,75,14.99
123,Chuy,UY,64.93,-33.69,-53.46,92,92,23.73
124,Mount Barker,AU,57.2,-35.06,138.86,54,0,9.17
125,Hithadhoo,MV,82.57,-0.6,73.08,100,88,9.42
126,Banda Aceh,ID,82.3,5.56,95.32,90,44,1.14
127,Kljuc,HR,71.53,43.85,16.03,28,0,12.75
128,Lasa,CY,82.4,34.92,32.53,74,0,6.93
129,Avarua,CK,71.6,-21.21,-159.78,64,75,3.36
130,Yulara,AU,86,-25.24,130.99,15,0,18.34
131,Tubuala,PA,75.2,9.52,-79.03,100,40,6.29
132,Gravdal,NO,51.8,59.79,5.78,81,75,19.46
133,Saint Anthony,US,54.91,43.97,-111.68,7,1,6.93
134,Cabo San Lucas,MX,83.2,22.89,-109.91,100,76,5.39
135,Kavaratti,IN,78.34,10.57,72.64,100,92,7.07
136,San Vicente,SV,72.25,13.64,-88.78,100,90,1.12
137,Khatanga,RU,45.04,71.98,102.47,98,0,6.73
138,Rio Grande,BR,67.09,-32.03,-52.1,90,32,24.07
139,Axim,GH,77.35,4.87,-2.24,100,48,10.76
140,Longyearbyen,NO,28.4,78.22,15.63,68,40,8.05
141,Nenjiang,CN,63.49,49.17,125.23,60,88,5.39
142,Taga,JP,66.2,35.21,136.34,93,75,14.99
143,Shubarkuduk,KZ,58.45,49.15,56.49,61,0,9.64
144,Kununurra,AU,96.8,-15.77,128.74,26,75,14.99
145,Kapit,MY,74.56,2.02,112.94,98,92,2.15
146,San Quintin,PH,77,17.54,120.52,94,90,4.7
147,Turayf,SA,78.8,31.68,38.65,31,0,4.7
148,Richards Bay,ZA,68.8,-28.77,32.06,75,80,11.43
149,Novikovo,UA,53.86,45.05,34.56,100,0,2.04
150,Oranjemund,ZA,57.37,-28.55,16.43,94,32,25.75
151,Marawi,PH,81.76,8,124.29,70,24,3.83
152,Celestun,MX,80.14,20.87,-90.4,100,32,7.18
153,College,US,40.06,64.86,-147.8,12,1,11.41
154,Prenzlau,DE,39.91,53.32,13.87,91,0,5.39
155,La Grande,US,45.36,45.32,-118.09,65,1,2.37
156,Dhidhdhoo,MV,79.78,6.88,73.1,100,88,9.53
157,Narrabri,AU,71.5,-30.33,149.78,28,56,10.98
158,Kidal,ML,78.52,18.44,1.41,49,100,4.94
159,Mildura,AU,61.87,-34.18,142.16,38,0,9.31
160,Chifeng,CN,51.97,42.27,118.96,60,32,8.86
161,Carutapera,BR,78.16,-1.2,-46.02,86,0,10.76
162,Kaitangata,NZ,57.64,-46.28,169.85,54,92,12.44
163,Ribeira Grande,PT,73.4,38.52,-28.7,78,20,13.87
164,Atambua,ID,85.54,-9.11,124.89,76,12,5.95
165,Lavrentiya,RU,46.21,65.58,-170.99,87,92,25.3
166,Bonavista,CA,52.96,48.65,-53.11,97,92,8.86
167,Cherskiy,RU,41.8,68.75,161.3,78,20,4.61
168,Saint-Pierre,FR,47.55,48.95,4.24,81,0,13.87
169,Paamiut,GL,38.74,61.99,-49.67,99,68,3.49
170,Codrington,AU,76.99,-28.95,153.24,48,48,8.52
171,Taltal,CL,48.64,-25.41,-70.49,97,0,1.25
172,Tiksi,RU,33.07,71.64,128.87,97,92,4.38
173,Opuwo,NA,63.49,-18.06,13.84,31,0,3.94
174,Samarai,PG,79.06,-10.62,150.67,96,44,18.03
175,Maldonado,UY,66.2,-34.91,-54.96,88,90,14.99
176,Naze,NG,73.4,5.43,7.07,94,20,4.38
177,Okhotsk,RU,45.94,59.36,143.24,78,64,15.68
178,Nichinan,JP,75.42,31.65,131.31,94,75,18.34
179,Sfantu Gheorghe,RO,59.92,44.65,26.83,76,0,2.24
180,La Reforma,GT,75.2,14.8,-91.82,94,40,1.92
181,Ariano Irpino,IT,64.4,41.15,15.09,63,0,10.29
182,Avera,US,74.41,33.19,-82.53,96,1,2.59
183,Upernavik,GL,33.34,72.79,-56.15,100,80,16.8
184,Niksic,ME,68,42.77,18.95,20,0,10.29
185,Leningradskiy,RU,41.62,69.38,178.42,91,92,20.83
186,Coquimbo,CL,56.38,-29.95,-71.34,100,64,3.38
187,Adrar,DZ,69.8,27.87,-0.29,37,0,16.11
188,Geraldton,CA,33.8,49.72,-86.95,100,75,12.75
189,Turan,RU,50.98,52.15,93.92,88,68,1.7
190,Konya,TR,62.6,37.87,32.48,48,0,2.24
191,Carmen,PH,89.59,7.2,124.8,69,8,3.83
192,Hammerfest,NO,35.6,70.66,23.68,69,0,16.11
193,Fazilka,IN,85.99,30.41,74.03,80,0,5.17
194,Port Hardy,CA,44.6,50.7,-127.42,100,40,2.24
195,Vangaindrano,MG,69.7,-23.35,47.6,100,48,4.16
196,Ambon,FR,48.2,47.55,-2.56,81,0,9.17
197,Norman Wells,CA,32,65.28,-126.83,73,75,6.93
198,Arlit,NE,77.71,18.74,7.39,24,68,3.71
199,Baghdad,IQ,93.46,33.3,44.38,24,0,6.4
200,Pringsewu,ID,88.6,-5.36,104.98,55,12,3.83
201,Tazovskiy,RU,58.99,67.47,78.7,68,56,25.41
202,Manoel Urbano,BR,74.2,-8.84,-69.26,97,0,1.92
203,Nome,US,74.59,30.04,-94.42,88,1,4.7
204,Los Llanos de Aridane,ES,75.2,28.66,-17.92,69,75,11.41
205,Quetta,PK,78.07,30.19,67.02,18,0,2.71
206,El Alto,BO,32,-16.5,-68.19,85,0,2.24
207,Middelburg,ZA,64.57,-25.77,29.46,55,24,5.28
208,Dobryanka,RU,48.2,58.45,56.42,81,75,20.13
209,Tirano,IT,33.8,46.22,10.17,100,20,1.12
210,Lorengau,PG,85.09,-2.02,147.27,97,88,9.42
211,Kysyl-Syr,RU,41.89,63.9,122.77,72,88,7.4
212,Krasnoyarsk,RU,59,56.01,92.87,62,0,8.95
213,Semirom,IR,68.17,31.41,51.57,24,0,3.27
214,Hualmay,PE,53.32,-11.1,-77.61,91,24,4.61
215,Homer,US,51.4,59.64,-151.54,92,90,6.93
216,Beroroha,MG,80.68,-21.68,45.17,50,0,4.38
217,Camacha,PT,71.6,33.08,-16.33,78,75,8.05
218,Ahipara,NZ,56.29,-35.17,173.16,76,0,5.84
219,Tautira,PF,75.2,-17.73,-149.15,69,20,3.36
220,Surskoye,RU,48.46,54.48,46.71,66,24,7.85
221,Colchester,GB,37.96,51.89,0.9,86,20,3.36
222,General Roca,AR,55.4,-39.03,-67.58,43,0,11.41
223,Ponta do Sol,BR,68.62,-20.63,-46,76,80,6.51
224,Bay-Khaak,RU,58.72,51.16,94.47,55,0,2.37
225,Ancud,CL,45.76,-41.87,-73.83,92,76,7.07
226,Derzhavinsk,KZ,57.1,51.1,66.31,49,0,14.79
227,Fez,MA,63.27,34.03,-5.02,72,0,4.7
228,Hasaki,JP,69.12,35.73,140.83,94,75,4.7
229,Omsukchan,RU,35.5,62.53,155.8,92,92,14
230,Matara,PE,37.39,-13.74,-72.9,93,0,1.92
231,Ardakan,IR,75.2,32.31,54.02,17,0,2.24
232,Morro Bay,US,56.26,35.37,-120.85,83,90,2.59
233,Isangel,VU,71.86,-19.55,169.27,100,100,20.71
234,Bilibino,RU,41.44,68.06,166.44,65,48,3.38
235,Benjamin Constant,BR,77,-4.38,-70.03,27,75,2.93
236,Kathmandu,NP,80.6,27.71,85.32,57,40,5.82
237,Padang,ID,81.85,-0.92,100.36,100,20,3.6
238,Namibe,AO,67.27,-15.19,12.15,100,80,8.41
239,Ossora,RU,44.77,59.24,163.07,97,0,3.94
240,Jalingo,NG,74.92,10.3,10.93,86,76,4.16
241,Pisco,PE,60.8,-13.71,-76.2,93,0,5.82
242,Inta,RU,37.75,66.04,60.13,93,92,3.38
243,Buzmeyin,TM,78.8,38.05,58.21,22,40,11.41
244,Solano,PH,81.94,16.52,121.18,68,24,2.37
245,Husavik,CA,30.55,50.56,-96.99,100,44,3.94
246,Pakokku,MM,91.39,21.33,95.09,74,12,4.5
247,Lagoa,PT,69.8,37.14,-8.45,83,0,5.82
248,Beruwala,LK,79.06,6.48,79.98,100,68,16.02
